date,rank,code,name,score,close,is_limit_up,is_limit_down
2026-05-19,4,600396,华电辽能,6.0,16.15,False,False
2026-05-19,5,002081,金 螳 螂,6.0,6.9,False,False
2026-05-20,1,603779,威龙股份,7.0,13.2,True,False
2026-05-20,2,002552,宝鼎科技,6.0,37.4,False,False
2026-05-20,3,002918,蒙娜丽莎,6.0,15.09,False,True
2026-05-20,4,600396,华电辽能,6.0,14.54,False,True
2026-05-20,5,600530,交大昂立,5.0,7.57,True,False
2026-05-21,1,603779,威龙股份,8.0,14.52,True,False
2026-05-21,2,603316,诚邦股份,6.0,27.25,True,False
2026-05-21,3,002552,宝鼎科技,6.0,36.2,False,False
2026-05-21,4,300571,平治信息,6.0,59.41,False,False
2026-05-21,5,002918,蒙娜丽莎,6.0,14.01,False,False
2026-05-22,1,603779,威龙股份,8.0,13.07,False,True
2026-05-22,2,002552,宝鼎科技,7.0,39.82,True,False
2026-05-22,3,603316,诚邦股份,6.0,26.9,False,False
2026-05-22,4,002272,川润股份,5.0,24.7,True,False
2026-05-22,5,600156,华升股份,5.0,13.59,False,False
2026-05-25,1,002552,宝鼎科技,8.0,43.8,True,False
2026-05-25,2,603779,威龙股份,7.0,13.82,False,False
2026-05-25,3,603316,诚邦股份,6.0,25.76,False,False
2026-05-25,4,000636,风华高科,5.0,41.38,True,False
2026-05-25,5,603936,博敏电子,5.0,24.85,True,False
2026-05-26,1,002552,宝鼎科技,9.0,48.18,True,False
2026-05-26,2,603779,威龙股份,7.0,12.78,False,False
2026-05-26,3,600172,黄河旋风,6.0,13.3,True,False
